#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-28PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.371016
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -543.2778  0.2715 
   00001    0.7056    -915.6494  0.3002 
   00002    0.6240   -1093.0069  0.3247 
   00003    0.6016   -1231.6107  0.3171 
   00004    0.5696   -1380.6014  0.3156 
   00005    0.5536   -1476.9036  0.3338 
   00006    0.5472   -1552.9697  0.3456 
   00007    0.5104   -1587.8548  0.3560 
   00008    0.5024   -1640.8481  0.3607 
   00009    0.4416   -1665.3324  0.3583 
   00010    0.4736   -1673.8041  0.3568 
   00011    0.5120   -1702.8686  0.3776 
   00012    0.5024   -1738.2633  0.3979 
   00013    0.4880   -1777.7737  0.3973 
   00014    0.4976   -1801.2750  0.4000 
   00015    0.4864   -1842.3755  0.3979 
   00016    0.4416   -1860.4522  0.3950 
   00017    0.4736   -1872.4236  0.3952 
   00018    0.4384   -1875.9846  0.4138 
   00019    0.4816   -1874.5770  0.4190 
   00020    0.4544   -1910.7089  0.4232 
   00021    0.4560   -1906.2478  0.4361 
   00022    0.4096   -1896.0799  0.4579 
   00023    0.4800   -1891.6672  0.4484 
   00024    0.4384   -1912.3737  0.4514 
   00025    0.4384   -1923.7040  0.4520 
   00026    0.4592   -1960.0564  0.4587 
   00027    0.4144   -1949.0501  0.4542 
   00028    0.4640   -1939.5672  0.4702 
   00029    0.4496   -1946.0492  0.4830 
   00030    0.4768   -1952.4881  0.4816 
   00031    0.4176   -1937.6077  0.4761 
   00032    0.4192   -1933.4087  0.4758 
   00033    0.4272   -1953.5822  0.4854 
   00034    0.4416   -1961.4058  0.4925 
   00035    0.4144   -1961.3930  0.4924 
   00036    0.4432   -1972.3641  0.5135 
   00037    0.4080   -1979.0663  0.5176 
   00038    0.4288   -2013.2942  0.5182 
   00039    0.4464   -2010.3818  0.5325 
   00040    0.4160   -2026.5817  0.5188 
   00041    0.3776   -2033.5879  0.5293 
   00042    0.4256   -2036.8372  0.5371 
   00043    0.4448   -2044.2156  0.5228 
   00044    0.4240   -2025.9027  0.5217 
   00045    0.4000   -2025.7768  0.5158 
   00046    0.4192   -2016.4432  0.5218 
   00047    0.4432   -2017.1985  0.5184 
   00048    0.4176   -2033.3959  0.5112 
   00049    0.4144   -2050.8285  0.5311 
   00050    0.4400   -2055.0528  0.5289 
