#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-31PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.134076
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5520.0686  0.2661 
   00001    0.6932   -8268.8465  0.2684 
   00002    0.6162  -10037.2280  0.2736 
   00003    0.5913  -11225.4947  0.2780 
   00004    0.5460  -12228.4674  0.2780 
   00005    0.5433  -13057.9058  0.2808 
   00006    0.5355  -13646.4156  0.2836 
   00007    0.5097  -14300.0960  0.2845 
   00008    0.5116  -14726.3007  0.2851 
   00009    0.4951  -15119.7255  0.2911 
   00010    0.4777  -15473.4615  0.2904 
   00011    0.4884  -15762.5424  0.2897 
   00012    0.4681  -16015.1485  0.2955 
   00013    0.4754  -16180.7422  0.2989 
   00014    0.4684  -16342.6472  0.3045 
   00015    0.4519  -16481.3585  0.3080 
   00016    0.4516  -16611.6216  0.3120 
   00017    0.4501  -16681.8017  0.3153 
   00018    0.4613  -16805.9952  0.3194 
   00019    0.4491  -16917.7143  0.3224 
   00020    0.4439  -17066.0224  0.3248 
   00021    0.4622  -17217.0506  0.3239 
   00022    0.4496  -17283.0818  0.3231 
   00023    0.4521  -17347.6981  0.3223 
   00024    0.4421  -17382.2505  0.3190 
   00025    0.4430  -17476.7196  0.3185 
   00026    0.4510  -17444.6762  0.3196 
   00027    0.4357  -17490.0597  0.3199 
   00028    0.4425  -17549.8156  0.3225 
   00029    0.4441  -17540.7198  0.3232 
   00030    0.4441  -17610.9677  0.3283 
   00031    0.4324  -17628.5997  0.3318 
   00032    0.4336  -17700.0395  0.3316 
   00033    0.4347  -17794.3621  0.3320 
   00034    0.4336  -17808.5725  0.3338 
   00035    0.4331  -17770.9614  0.3336 
   00036    0.4322  -17850.5694  0.3336 
   00037    0.4341  -17827.5526  0.3354 
   00038    0.4299  -17947.7184  0.3371 
   00039    0.4354  -17822.5505  0.3389 
   00040    0.4324  -17845.9697  0.3412 
   00041    0.4340  -17937.1270  0.3418 
   00042    0.4306  -17943.8896  0.3437 
   00043    0.4261  -17907.8841  0.3501 
   00044    0.4341  -18012.8070  0.3580 
   00045    0.4370  -18019.4867  0.3546 
   00046    0.4176  -18061.2041  0.3540 
   00047    0.4185  -18052.8531  0.3521 
   00048    0.4343  -18092.5706  0.3551 
   00049    0.4203  -18123.1803  0.3582 
   00050    0.4286  -18185.1470  0.3589 
