#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-41PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        13.056789
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22371.8644  0.2561 
   00001    0.6786  -33394.7008  0.2540 
   00002    0.6208  -40348.8255  0.2527 
   00003    0.5811  -45591.4753  0.2540 
   00004    0.5574  -49505.2154  0.2522 
   00005    0.5360  -52405.0779  0.2534 
   00006    0.5275  -55136.8967  0.2511 
   00007    0.5125  -57243.6123  0.2522 
   00008    0.5036  -58747.0192  0.2518 
   00009    0.4884  -60173.8530  0.2533 
   00010    0.4861  -61455.5790  0.2527 
   00011    0.4787  -62468.8689  0.2523 
   00012    0.4748  -63612.5527  0.2553 
   00013    0.4688  -64413.5047  0.2561 
   00014    0.4624  -65153.9603  0.2572 
   00015    0.4544  -65848.1546  0.2578 
   00016    0.4572  -66423.5575  0.2596 
   00017    0.4560  -66996.8211  0.2591 
   00018    0.4532  -67548.9724  0.2575 
   00019    0.4547  -68119.4024  0.2582 
   00020    0.4542  -68426.5861  0.2627 
   00021    0.4398  -68982.7736  0.2610 
   00022    0.4420  -69461.1653  0.2607 
   00023    0.4368  -69852.0868  0.2597 
   00024    0.4381  -70138.6038  0.2586 
   00025    0.4372  -70285.5324  0.2585 
   00026    0.4380  -70368.4844  0.2580 
   00027    0.4363  -70550.1434  0.2589 
   00028    0.4376  -70671.2839  0.2598 
   00029    0.4379  -70584.1737  0.2611 
   00030    0.4348  -70752.3586  0.2624 
   00031    0.4404  -71030.5597  0.2647 
   00032    0.4355  -71379.8751  0.2679 
   00033    0.4325  -71478.1443  0.2691 
   00034    0.4324  -71679.5999  0.2678 
   00035    0.4436  -71752.1171  0.2663 
   00036    0.4349  -71790.5699  0.2687 
   00037    0.4347  -72038.7593  0.2681 
   00038    0.4294  -72201.3296  0.2712 
   00039    0.4320  -72309.9675  0.2701 
   00040    0.4311  -72447.2058  0.2702 
   00041    0.4256  -72535.4662  0.2684 
   00042    0.4211  -72563.3741  0.2696 
   00043    0.4245  -72614.9254  0.2685 
   00044    0.4289  -72712.6304  0.2675 
   00045    0.4308  -72830.9850  0.2678 
   00046    0.4268  -72924.7233  0.2693 
   00047    0.4217  -73055.7213  0.2724 
   00048    0.4290  -73156.4308  0.2713 
   00049    0.4248  -73285.2692  0.2710 
   00050    0.4244  -73256.6518  0.2720 
