#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.404909
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2489.8361  0.2538 
   00001    0.6664   -3701.0093  0.2529 
   00002    0.6144   -4427.8075  0.2573 
   00003    0.5768   -5043.5966  0.2658 
   00004    0.5608   -5367.9794  0.2763 
   00005    0.5316   -5769.5558  0.2810 
   00006    0.5232   -6120.3554  0.2862 
   00007    0.5008   -6371.2523  0.2942 
   00008    0.4968   -6488.4756  0.2913 
   00009    0.4904   -6610.7466  0.2935 
   00010    0.4840   -6751.6314  0.2921 
   00011    0.4872   -6894.2577  0.2922 
   00012    0.4724   -7044.3940  0.2994 
   00013    0.4576   -7141.0760  0.3046 
   00014    0.4760   -7285.0326  0.3040 
   00015    0.4472   -7333.0609  0.3078 
   00016    0.4488   -7384.9633  0.3063 
   00017    0.4460   -7441.6632  0.3157 
   00018    0.4616   -7474.1492  0.3210 
   00019    0.4540   -7564.0788  0.3262 
   00020    0.4484   -7592.0444  0.3308 
   00021    0.4432   -7690.3766  0.3354 
   00022    0.4204   -7716.8481  0.3370 
   00023    0.4224   -7728.0191  0.3306 
   00024    0.4484   -7764.4592  0.3331 
   00025    0.4496   -7758.8967  0.3346 
   00026    0.4424   -7781.5538  0.3383 
   00027    0.4300   -7794.1243  0.3401 
   00028    0.4428   -7796.3562  0.3425 
   00029    0.4316   -7816.0201  0.3498 
   00030    0.4504   -7843.2981  0.3495 
   00031    0.4400   -7918.1727  0.3565 
   00032    0.4268   -7922.4471  0.3624 
   00033    0.4304   -7959.2769  0.3633 
   00034    0.4328   -7964.7119  0.3644 
   00035    0.4412   -7979.1959  0.3680 
   00036    0.4276   -8005.9700  0.3649 
   00037    0.4072   -8002.5029  0.3677 
   00038    0.4280   -8030.1838  0.3736 
   00039    0.4296   -8046.3948  0.3786 
   00040    0.4480   -8023.0437  0.3802 
   00041    0.4400   -8069.9318  0.3776 
   00042    0.4164   -8021.4420  0.3834 
   00043    0.4244   -8050.8353  0.3880 
   00044    0.4340   -8079.9776  0.3926 
   00045    0.4160   -8084.5535  0.3976 
   00046    0.4132   -8157.5048  0.4010 
   00047    0.4032   -8136.1678  0.3913 
   00048    0.4320   -8150.8274  0.3957 
   00049    0.4264   -8071.7814  0.3914 
   00050    0.4328   -8076.7098  0.3954 
