#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-34PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.782252
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9986.9576  0.2603 
   00001    0.6747  -14809.8978  0.2662 
   00002    0.6274  -17900.2122  0.2690 
   00003    0.5809  -20168.8106  0.2741 
   00004    0.5554  -22025.7158  0.2797 
   00005    0.5436  -23463.4553  0.2806 
   00006    0.5134  -24534.8367  0.2843 
   00007    0.5043  -25410.9657  0.2891 
   00008    0.4808  -26272.3654  0.2934 
   00009    0.4772  -26875.5858  0.2936 
   00010    0.4854  -27438.3969  0.2955 
   00011    0.4852  -27966.2696  0.2999 
   00012    0.4709  -28308.8015  0.3028 
   00013    0.4694  -28699.9471  0.3055 
   00014    0.4604  -29106.7967  0.3099 
   00015    0.4566  -29395.5806  0.3160 
   00016    0.4633  -29710.3301  0.3155 
   00017    0.4455  -29919.0505  0.3156 
   00018    0.4505  -30139.0581  0.3111 
   00019    0.4547  -30262.8287  0.3102 
   00020    0.4440  -30426.6753  0.3117 
   00021    0.4505  -30599.9389  0.3138 
   00022    0.4491  -30654.2955  0.3131 
   00023    0.4326  -30617.9305  0.3118 
   00024    0.4516  -30774.6814  0.3172 
   00025    0.4472  -30870.7945  0.3218 
   00026    0.4347  -31065.0919  0.3246 
   00027    0.4416  -31223.4059  0.3244 
   00028    0.4266  -31294.3670  0.3232 
   00029    0.4364  -31476.4901  0.3242 
   00030    0.4359  -31531.3041  0.3256 
   00031    0.4328  -31507.0260  0.3240 
   00032    0.4360  -31593.2467  0.3229 
   00033    0.4330  -31721.8958  0.3222 
   00034    0.4285  -31923.6576  0.3260 
   00035    0.4378  -31940.5430  0.3290 
   00036    0.4308  -31946.3728  0.3262 
   00037    0.4263  -31884.7113  0.3281 
   00038    0.4422  -31908.2992  0.3283 
   00039    0.4363  -31948.5913  0.3318 
   00040    0.4322  -31851.8118  0.3302 
   00041    0.4397  -31935.6738  0.3336 
   00042    0.4265  -32073.3115  0.3319 
   00043    0.4269  -32146.2240  0.3310 
   00044    0.4346  -32159.9248  0.3357 
   00045    0.4281  -32222.0587  0.3385 
   00046    0.4278  -32239.9670  0.3407 
   00047    0.4286  -32423.2835  0.3417 
   00048    0.4270  -32543.7836  0.3394 
   00049    0.4278  -32451.1299  0.3405 
   00050    0.4244  -32534.5320  0.3442 
