#=====================================================
# File created:        Wed-25-Oct-2023-at-04-07-37PM
# Size of lattice:     125x125
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        8.827516
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -15580.7593  0.2580 
   00001    0.6808  -23309.6658  0.2641 
   00002    0.6285  -28175.0818  0.2675 
   00003    0.5888  -31602.1576  0.2657 
   00004    0.5623  -34316.3546  0.2667 
   00005    0.5398  -36519.0536  0.2660 
   00006    0.5206  -38447.3715  0.2666 
   00007    0.5059  -39865.5767  0.2681 
   00008    0.4948  -40979.5100  0.2684 
   00009    0.4923  -42192.6429  0.2670 
   00010    0.4826  -43164.2273  0.2673 
   00011    0.4750  -43938.6665  0.2720 
   00012    0.4697  -44533.3177  0.2719 
   00013    0.4575  -45030.9692  0.2758 
   00014    0.4559  -45610.3438  0.2766 
   00015    0.4612  -46145.4264  0.2759 
   00016    0.4536  -46478.7940  0.2760 
   00017    0.4559  -46784.1309  0.2750 
   00018    0.4472  -47154.7654  0.2764 
   00019    0.4534  -47378.4423  0.2779 
   00020    0.4466  -47692.0337  0.2798 
   00021    0.4477  -47939.1054  0.2839 
   00022    0.4471  -48332.5649  0.2883 
   00023    0.4427  -48452.8497  0.2899 
   00024    0.4430  -48658.1712  0.2911 
   00025    0.4389  -48876.5608  0.2902 
   00026    0.4358  -48800.7347  0.2922 
   00027    0.4384  -48907.3332  0.2924 
   00028    0.4407  -49000.9911  0.2889 
   00029    0.4350  -49103.8873  0.2885 
   00030    0.4266  -49284.1691  0.2911 
   00031    0.4388  -49408.5760  0.2921 
   00032    0.4344  -49545.2736  0.2915 
   00033    0.4287  -49617.4432  0.2954 
   00034    0.4413  -49728.6973  0.2973 
   00035    0.4368  -49789.9513  0.2999 
   00036    0.4266  -49820.7046  0.3010 
   00037    0.4355  -49833.4116  0.3014 
   00038    0.4325  -49851.3586  0.3006 
   00039    0.4333  -49922.1945  0.3024 
   00040    0.4316  -50025.9651  0.3019 
   00041    0.4376  -50195.3356  0.3043 
   00042    0.4257  -50212.7305  0.3030 
   00043    0.4245  -50303.7991  0.3014 
   00044    0.4364  -50422.8231  0.3042 
   00045    0.4220  -50596.5744  0.3057 
   00046    0.4228  -50638.0631  0.3038 
   00047    0.4282  -50683.9520  0.3020 
   00048    0.4218  -50615.4255  0.3051 
   00049    0.4314  -50636.9750  0.3080 
   00050    0.4240  -50694.7757  0.3069 
