#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-39PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.382918
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2496.1198  0.2531 
   00001    0.6832   -3773.2543  0.2733 
   00002    0.6372   -4636.6101  0.2760 
   00003    0.5560   -5194.3329  0.2604 
   00004    0.5560   -5597.2657  0.2696 
   00005    0.5256   -5954.0169  0.2772 
   00006    0.5200   -6258.0676  0.2746 
   00007    0.4972   -6429.6341  0.2781 
   00008    0.4928   -6604.8245  0.2770 
   00009    0.4820   -6703.2737  0.2761 
   00010    0.4800   -6812.8557  0.2804 
   00011    0.4628   -6907.9001  0.2823 
   00012    0.4652   -7002.5631  0.2800 
   00013    0.4644   -7102.7602  0.2839 
   00014    0.4476   -7204.4413  0.2757 
   00015    0.4576   -7267.8277  0.2779 
   00016    0.4536   -7337.6277  0.2859 
   00017    0.4504   -7453.1695  0.2786 
   00018    0.4560   -7503.0317  0.2797 
   00019    0.4196   -7536.2894  0.2828 
   00020    0.4492   -7572.8074  0.2977 
   00021    0.4348   -7602.0530  0.3041 
   00022    0.4668   -7594.3681  0.3062 
   00023    0.4540   -7559.5974  0.3040 
   00024    0.4336   -7574.8983  0.3042 
   00025    0.4488   -7633.5985  0.3026 
   00026    0.4440   -7683.9534  0.3045 
   00027    0.4368   -7668.7708  0.3026 
   00028    0.4388   -7690.7048  0.3031 
   00029    0.4304   -7704.0909  0.3068 
   00030    0.4572   -7728.6142  0.3062 
   00031    0.4444   -7767.9044  0.3094 
   00032    0.4492   -7836.0546  0.3129 
   00033    0.4252   -7871.9388  0.3141 
   00034    0.4364   -7942.7281  0.3222 
   00035    0.4196   -7981.5823  0.3203 
   00036    0.4196   -7971.6660  0.3202 
   00037    0.4424   -7972.3897  0.3207 
   00038    0.4280   -8040.4549  0.3247 
   00039    0.4328   -8047.8929  0.3320 
   00040    0.4440   -8022.9153  0.3347 
   00041    0.4240   -8072.8073  0.3416 
   00042    0.4360   -8057.3363  0.3465 
   00043    0.4424   -8061.2556  0.3405 
   00044    0.4364   -8056.0529  0.3358 
   00045    0.4300   -8059.6787  0.3391 
   00046    0.4264   -8059.0596  0.3377 
   00047    0.4348   -8070.9903  0.3368 
   00048    0.4316   -8051.5412  0.3409 
   00049    0.4364   -8103.9112  0.3374 
   00050    0.4288   -8086.5373  0.3389 
