#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-37PM
# Size of lattice:     25x25
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.370600
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -614.2167  0.2606 
   00001    0.6704    -909.8540  0.2827 
   00002    0.5952   -1144.6803  0.2713 
   00003    0.5840   -1321.6098  0.2849 
   00004    0.5408   -1480.3667  0.3097 
   00005    0.5120   -1550.0771  0.3290 
   00006    0.5136   -1579.5951  0.3181 
   00007    0.4960   -1630.3235  0.3380 
   00008    0.4800   -1674.9782  0.3221 
   00009    0.4576   -1730.8825  0.3223 
   00010    0.4560   -1786.3872  0.3328 
   00011    0.4320   -1807.6365  0.3385 
   00012    0.4768   -1834.4327  0.3510 
   00013    0.4512   -1848.2021  0.3531 
   00014    0.4544   -1878.5789  0.3555 
   00015    0.4576   -1869.8033  0.3598 
   00016    0.4640   -1879.2882  0.3574 
   00017    0.4032   -1898.9513  0.3720 
   00018    0.4720   -1892.5888  0.3897 
   00019    0.4784   -1907.3017  0.3868 
   00020    0.4320   -1912.7799  0.3961 
   00021    0.4528   -1933.4330  0.4077 
   00022    0.4608   -1932.4848  0.4122 
   00023    0.4480   -1943.3635  0.4038 
   00024    0.4544   -1970.3163  0.4093 
   00025    0.4176   -1968.1627  0.4111 
   00026    0.4256   -1975.8341  0.4283 
   00027    0.4288   -1997.0075  0.4199 
   00028    0.4304   -1992.0300  0.4188 
   00029    0.3840   -1996.9770  0.4180 
   00030    0.4080   -2004.0496  0.4245 
   00031    0.4096   -1989.4734  0.4366 
   00032    0.4144   -1990.4617  0.4479 
   00033    0.3920   -1994.7259  0.4484 
   00034    0.4592   -1992.7626  0.4507 
   00035    0.4448   -1999.2379  0.4589 
   00036    0.3728   -2002.4957  0.4520 
   00037    0.4112   -2000.9453  0.4511 
   00038    0.4336   -2029.6130  0.4557 
   00039    0.4112   -2039.2581  0.4595 
   00040    0.4576   -2022.8481  0.4538 
   00041    0.4384   -2043.9860  0.4542 
   00042    0.4352   -2046.5940  0.4541 
   00043    0.4112   -2051.7355  0.4676 
   00044    0.3744   -2053.6733  0.4615 
   00045    0.4000   -2050.1575  0.4499 
   00046    0.4176   -2047.1485  0.4507 
   00047    0.4224   -2052.3422  0.4443 
   00048    0.4240   -2042.3055  0.4513 
   00049    0.4256   -2036.8200  0.4445 
   00050    0.4192   -2036.3356  0.4525 
