#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-55PM
# Size of lattice:     175x175
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        16.405065
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -30384.9034  0.2513 
   00001    0.6811  -45295.0077  0.2527 
   00002    0.6245  -54848.9559  0.2502 
   00003    0.5836  -62040.2696  0.2514 
   00004    0.5577  -67224.2430  0.2549 
   00005    0.5346  -71494.7122  0.2569 
   00006    0.5241  -74700.3526  0.2551 
   00007    0.5059  -77357.4772  0.2533 
   00008    0.4952  -79880.9505  0.2538 
   00009    0.4939  -81972.4274  0.2560 
   00010    0.4814  -83881.4227  0.2578 
   00011    0.4790  -85366.1084  0.2571 
   00012    0.4715  -86805.2644  0.2549 
   00013    0.4633  -87730.2875  0.2570 
   00014    0.4614  -88821.9672  0.2569 
   00015    0.4567  -89673.6292  0.2570 
   00016    0.4595  -90595.8484  0.2569 
   00017    0.4531  -91276.9524  0.2566 
   00018    0.4505  -91921.3101  0.2572 
   00019    0.4512  -92555.6553  0.2575 
   00020    0.4502  -93038.8532  0.2599 
   00021    0.4484  -93548.1924  0.2594 
   00022    0.4466  -93966.4854  0.2576 
   00023    0.4444  -94472.4586  0.2578 
   00024    0.4382  -94902.2365  0.2570 
   00025    0.4345  -95129.1391  0.2574 
   00026    0.4373  -95508.9608  0.2580 
   00027    0.4357  -95808.7222  0.2578 
   00028    0.4392  -96103.4350  0.2569 
   00029    0.4366  -96220.8623  0.2575 
   00030    0.4365  -96558.6590  0.2585 
   00031    0.4328  -96924.5597  0.2584 
   00032    0.4303  -97110.8409  0.2577 
   00033    0.4351  -97193.5988  0.2577 
   00034    0.4326  -97488.1959  0.2561 
   00035    0.4290  -97583.4324  0.2569 
   00036    0.4240  -97736.0893  0.2572 
   00037    0.4359  -97821.4045  0.2554 
   00038    0.4289  -97941.3143  0.2551 
   00039    0.4290  -98280.6192  0.2560 
   00040    0.4299  -98432.9091  0.2563 
   00041    0.4316  -98495.6969  0.2566 
   00042    0.4305  -98670.7034  0.2571 
   00043    0.4244  -98709.8503  0.2559 
   00044    0.4310  -98880.8729  0.2565 
   00045    0.4273  -98941.7696  0.2551 
   00046    0.4232  -99133.7033  0.2540 
   00047    0.4273  -98959.0502  0.2531 
   00048    0.4239  -99155.5433  0.2540 
   00049    0.4316  -99241.3270  0.2549 
   00050    0.4253  -99244.0397  0.2545 
