#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-41PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.068726
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5582.6520  0.2571 
   00001    0.6820   -8398.1821  0.2661 
   00002    0.6213  -10218.5572  0.2715 
   00003    0.5865  -11542.1668  0.2766 
   00004    0.5540  -12442.2569  0.2760 
   00005    0.5381  -13236.1791  0.2750 
   00006    0.5172  -13858.5235  0.2717 
   00007    0.5093  -14374.0016  0.2699 
   00008    0.4910  -14874.6890  0.2650 
   00009    0.4821  -15297.4902  0.2643 
   00010    0.4770  -15583.6875  0.2668 
   00011    0.4837  -15904.1764  0.2695 
   00012    0.4699  -16140.9000  0.2696 
   00013    0.4683  -16348.1468  0.2737 
   00014    0.4533  -16584.6467  0.2793 
   00015    0.4544  -16677.4866  0.2784 
   00016    0.4670  -16841.4701  0.2790 
   00017    0.4503  -16938.4588  0.2841 
   00018    0.4484  -17120.9930  0.2820 
   00019    0.4539  -17202.7254  0.2806 
   00020    0.4411  -17272.8245  0.2835 
   00021    0.4396  -17346.4104  0.2773 
   00022    0.4532  -17418.0951  0.2760 
   00023    0.4411  -17500.1629  0.2830 
   00024    0.4494  -17609.7301  0.2824 
   00025    0.4400  -17651.9696  0.2840 
   00026    0.4293  -17722.8609  0.2848 
   00027    0.4302  -17726.3651  0.2796 
   00028    0.4343  -17844.0928  0.2825 
   00029    0.4260  -17903.0904  0.2785 
   00030    0.4437  -17914.8315  0.2809 
   00031    0.4375  -17996.8626  0.2834 
   00032    0.4272  -18023.4507  0.2881 
   00033    0.4341  -18058.6511  0.2902 
   00034    0.4325  -18065.2986  0.2924 
   00035    0.4244  -18107.1281  0.2925 
   00036    0.4233  -18074.0602  0.2922 
   00037    0.4174  -18126.9812  0.2918 
   00038    0.4272  -18144.3427  0.2879 
   00039    0.4206  -18120.7906  0.2925 
   00040    0.4295  -18201.7483  0.2912 
   00041    0.4183  -18242.8662  0.2972 
   00042    0.4309  -18261.3437  0.2975 
   00043    0.4263  -18277.0236  0.3029 
   00044    0.4366  -18340.6277  0.3016 
   00045    0.4279  -18303.4922  0.3003 
   00046    0.4327  -18309.5019  0.2983 
   00047    0.4238  -18350.5426  0.2990 
   00048    0.4101  -18290.6513  0.2969 
   00049    0.4254  -18373.8166  0.2945 
   00050    0.4073  -18358.2117  0.2944 
