#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-50PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        11.911699
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22468.0381  0.2533 
   00001    0.6828  -33385.5362  0.2560 
   00002    0.6245  -40398.4349  0.2513 
   00003    0.5845  -45440.6785  0.2547 
   00004    0.5613  -49530.3314  0.2569 
   00005    0.5363  -52444.8750  0.2565 
   00006    0.5219  -54957.8914  0.2594 
   00007    0.5036  -56963.6324  0.2634 
   00008    0.5044  -58618.5323  0.2650 
   00009    0.4889  -59995.3237  0.2660 
   00010    0.4835  -61242.2942  0.2627 
   00011    0.4816  -62397.0491  0.2631 
   00012    0.4744  -63375.1064  0.2649 
   00013    0.4740  -64293.7732  0.2647 
   00014    0.4624  -65022.4527  0.2648 
   00015    0.4597  -65656.9984  0.2670 
   00016    0.4525  -66192.1416  0.2694 
   00017    0.4577  -66850.7150  0.2724 
   00018    0.4540  -67332.9543  0.2752 
   00019    0.4487  -67864.1141  0.2766 
   00020    0.4470  -68369.6938  0.2790 
   00021    0.4446  -68719.5136  0.2799 
   00022    0.4412  -69093.5750  0.2791 
   00023    0.4388  -69176.2793  0.2810 
   00024    0.4475  -69405.3035  0.2808 
   00025    0.4442  -69656.0887  0.2828 
   00026    0.4359  -69830.1649  0.2849 
   00027    0.4454  -70053.2339  0.2854 
   00028    0.4410  -70397.8310  0.2845 
   00029    0.4362  -70633.5000  0.2834 
   00030    0.4340  -70864.5948  0.2833 
   00031    0.4399  -71121.8086  0.2828 
   00032    0.4354  -71221.5014  0.2827 
   00033    0.4285  -71519.7166  0.2833 
   00034    0.4338  -71649.8997  0.2827 
   00035    0.4249  -71844.7803  0.2821 
   00036    0.4273  -72023.1153  0.2860 
   00037    0.4236  -72093.1677  0.2888 
   00038    0.4339  -72069.7210  0.2908 
   00039    0.4346  -72153.9058  0.2909 
   00040    0.4307  -72067.1030  0.2882 
   00041    0.4321  -72173.8920  0.2893 
   00042    0.4268  -72270.4720  0.2895 
   00043    0.4288  -72430.7885  0.2935 
   00044    0.4254  -72560.0540  0.2957 
   00045    0.4277  -72623.5506  0.2952 
   00046    0.4221  -72670.4326  0.2923 
   00047    0.4242  -72752.3169  0.2926 
   00048    0.4268  -72863.8602  0.2919 
   00049    0.4289  -72996.0583  0.2947 
   00050    0.4259  -73179.4638  0.2946 
