#=====================================================
# File created:        Thu-02-Nov-2023-at-04-29-43PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.422018
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9945.5049  0.2528 
   00001    0.6759  -14805.7630  0.2545 
   00002    0.6223  -17942.3553  0.2503 
   00003    0.5852  -20227.2428  0.2533 
   00004    0.5553  -22121.0497  0.2577 
   00005    0.5342  -23390.0175  0.2557 
   00006    0.5193  -24488.3035  0.2555 
   00007    0.5000  -25413.5261  0.2533 
   00008    0.4895  -26296.9293  0.2569 
   00009    0.4838  -26920.2735  0.2612 
   00010    0.4758  -27481.1938  0.2595 
   00011    0.4763  -28026.6863  0.2615 
   00012    0.4680  -28495.7965  0.2600 
   00013    0.4660  -28917.6585  0.2616 
   00014    0.4530  -29241.4669  0.2636 
   00015    0.4577  -29442.9103  0.2652 
   00016    0.4535  -29680.4553  0.2691 
   00017    0.4456  -29948.8287  0.2660 
   00018    0.4498  -30126.7934  0.2675 
   00019    0.4520  -30357.8626  0.2671 
   00020    0.4520  -30487.9420  0.2716 
   00021    0.4464  -30534.8622  0.2713 
   00022    0.4495  -30671.6306  0.2720 
   00023    0.4383  -30797.2354  0.2703 
   00024    0.4320  -30926.6770  0.2718 
   00025    0.4455  -31041.2505  0.2702 
   00026    0.4398  -31162.0411  0.2739 
   00027    0.4327  -31325.5711  0.2736 
   00028    0.4331  -31396.5193  0.2747 
   00029    0.4329  -31477.2650  0.2779 
   00030    0.4384  -31525.8314  0.2787 
   00031    0.4324  -31600.1032  0.2813 
   00032    0.4260  -31634.1295  0.2845 
   00033    0.4340  -31618.7590  0.2832 
   00034    0.4344  -31719.9482  0.2822 
   00035    0.4336  -31832.8642  0.2819 
   00036    0.4342  -31849.0588  0.2843 
   00037    0.4351  -31847.4913  0.2827 
   00038    0.4300  -31887.1114  0.2817 
   00039    0.4279  -31942.8050  0.2832 
   00040    0.4358  -31965.7067  0.2801 
   00041    0.4324  -32089.7526  0.2801 
   00042    0.4378  -32064.3849  0.2805 
   00043    0.4292  -32188.8384  0.2861 
   00044    0.4275  -32187.5875  0.2835 
   00045    0.4214  -32159.8027  0.2852 
   00046    0.4304  -32181.6406  0.2843 
   00047    0.4282  -32199.0767  0.2847 
   00048    0.4283  -32248.0594  0.2857 
   00049    0.4202  -32260.8398  0.2837 
   00050    0.4277  -32299.0987  0.2850 
