#=====================================================
# File created:        Tue-07-Nov-2023-at-06-50-47PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.591287
# Number of Cores      8
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22606.3448  0.2513 
   00001    0.7129  -24319.9765  0.2519 
   00002    0.7024  -25877.4597  0.2515 
   00003    0.6894  -27384.6558  0.2521 
   00004    0.6850  -28771.9855  0.2528 
   00005    0.6740  -30030.2001  0.2521 
   00006    0.6704  -31166.7794  0.2527 
   00007    0.6622  -32278.6040  0.2532 
   00008    0.6465  -33381.9918  0.2536 
   00009    0.6387  -34350.9765  0.2546 
   00010    0.6349  -35361.2006  0.2543 
   00011    0.6336  -36259.0862  0.2545 
   00012    0.6248  -37195.6857  0.2540 
   00013    0.6232  -38018.0638  0.2549 
   00014    0.6124  -38792.5034  0.2555 
   00015    0.6057  -39448.1476  0.2555 
   00016    0.6020  -40064.0198  0.2562 
   00017    0.5981  -40801.3770  0.2565 
   00018    0.5933  -41417.1014  0.2550 
   00019    0.5905  -42161.2078  0.2555 
   00020    0.5872  -42772.7559  0.2555 
   00021    0.5827  -43404.5281  0.2562 
   00022    0.5741  -44053.7548  0.2561 
   00023    0.5795  -44599.4784  0.2580 
   00024    0.5714  -45159.3714  0.2580 
   00025    0.5690  -45715.3159  0.2591 
   00026    0.5657  -46295.4318  0.2604 
   00027    0.5584  -46785.0929  0.2609 
   00028    0.5583  -47217.2877  0.2608 
   00029    0.5575  -47663.8732  0.2609 
   00030    0.5507  -48125.5905  0.2604 
   00031    0.5499  -48626.3286  0.2591 
   00032    0.5471  -49044.9577  0.2600 
   00033    0.5518  -49524.2521  0.2600 
   00034    0.5459  -49940.5746  0.2594 
   00035    0.5392  -50367.2746  0.2596 
   00036    0.5347  -50688.1224  0.2601 
   00037    0.5348  -51106.5025  0.2604 
   00038    0.5330  -51426.7271  0.2602 
   00039    0.5322  -51859.8497  0.2599 
   00040    0.5262  -52142.2505  0.2596 
   00041    0.5246  -52442.6137  0.2597 
   00042    0.5225  -52691.9736  0.2596 
   00043    0.5254  -52999.2069  0.2600 
   00044    0.5279  -53327.4895  0.2595 
   00045    0.5190  -53628.0883  0.2594 
   00046    0.5224  -53912.1300  0.2587 
   00047    0.5136  -54197.5466  0.2594 
   00048    0.5112  -54532.5283  0.2599 
   00049    0.5130  -54790.4020  0.2597 
   00050    0.5172  -55101.3544  0.2607 
