#=====================================================
# File created:        Wed-25-Oct-2023-at-03-59-03PM
# Size of lattice:     175x175
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        162.201096
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -30397.5209  0.2509 
   00001    0.6793  -45390.5277  0.2530 
   00002    0.6239  -54789.0323  0.2572 
   00003    0.5923  -61703.7178  0.2583 
   00004    0.5565  -67085.7969  0.2578 
   00005    0.5318  -71309.1698  0.2583 
   00006    0.5236  -74732.3669  0.2591 
   00007    0.5153  -77826.7312  0.2606 
   00008    0.4986  -80344.2590  0.2639 
   00009    0.4927  -82422.9738  0.2646 
   00010    0.4813  -84070.1799  0.2639 
   00011    0.4775  -85592.2002  0.2647 
   00012    0.4719  -87071.4662  0.2652 
   00013    0.4651  -88213.4740  0.2669 
   00014    0.4623  -89257.8670  0.2676 
   00015    0.4651  -90211.2980  0.2667 
   00016    0.4564  -90980.8571  0.2666 
   00017    0.4551  -91680.4796  0.2659 
   00018    0.4500  -92362.2195  0.2665 
   00019    0.4486  -92889.9606  0.2660 
   00020    0.4434  -93322.8297  0.2670 
   00021    0.4437  -93885.5750  0.2674 
   00022    0.4429  -94378.5477  0.2670 
   00023    0.4393  -94678.0042  0.2666 
   00024    0.4421  -95020.2972  0.2674 
   00025    0.4438  -95371.2362  0.2659 
   00026    0.4393  -95704.0562  0.2667 
   00027    0.4364  -95939.8428  0.2660 
   00028    0.4363  -96304.1934  0.2654 
   00029    0.4337  -96616.7638  0.2646 
   00030    0.4325  -96799.6585  0.2653 
   00031    0.4312  -97053.7635  0.2656 
   00032    0.4320  -97092.1270  0.2679 
   00033    0.4307  -97298.0114  0.2679 
   00034    0.4349  -97608.0560  0.2679 
   00035    0.4305  -97679.0410  0.2683 
   00036    0.4307  -97944.2526  0.2705 
   00037    0.4280  -98051.1995  0.2710 
   00038    0.4301  -98348.8563  0.2726 
   00039    0.4309  -98531.9336  0.2745 
   00040    0.4274  -98704.5694  0.2757 
   00041    0.4328  -98959.7086  0.2773 
   00042    0.4300  -98893.5152  0.2781 
   00043    0.4295  -98997.1702  0.2784 
   00044    0.4279  -99111.9970  0.2786 
   00045    0.4229  -99166.7816  0.2782 
   00046    0.4273  -99533.4057  0.2785 
   00047    0.4271  -99639.0862  0.2780 
   00048    0.4240  -99506.6433  0.2793 
   00049    0.4268  -99420.7472  0.2793 
   00050    0.4256  -99501.4333  0.2783 
