#=====================================================
# File created:        Wed-25-Oct-2023-at-03-58-23PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        121.718538
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22408.8342  0.2583 
   00001    0.6788  -33268.6125  0.2594 
   00002    0.6228  -40806.8705  0.2662 
   00003    0.5841  -45729.8097  0.2708 
   00004    0.5573  -49930.1698  0.2740 
   00005    0.5388  -52842.6816  0.2780 
   00006    0.5180  -55207.2709  0.2771 
   00007    0.5019  -57344.2682  0.2787 
   00008    0.4948  -58866.3256  0.2796 
   00009    0.4887  -60576.6061  0.2834 
   00010    0.4806  -61831.5280  0.2850 
   00011    0.4792  -62929.2539  0.2859 
   00012    0.4717  -63712.8614  0.2848 
   00013    0.4647  -64564.1841  0.2871 
   00014    0.4617  -65348.1254  0.2881 
   00015    0.4584  -66095.8767  0.2914 
   00016    0.4603  -66697.7446  0.2907 
   00017    0.4496  -67340.9823  0.2955 
   00018    0.4502  -67816.3506  0.2960 
   00019    0.4488  -68380.0894  0.2979 
   00020    0.4488  -68723.6322  0.2980 
   00021    0.4376  -68972.5073  0.3019 
   00022    0.4460  -69314.0685  0.3039 
   00023    0.4439  -69565.1979  0.3063 
   00024    0.4430  -69906.8119  0.3091 
   00025    0.4391  -70189.0030  0.3104 
   00026    0.4396  -70369.5321  0.3111 
   00027    0.4356  -70585.2638  0.3115 
   00028    0.4373  -70770.8551  0.3120 
   00029    0.4374  -71009.9300  0.3111 
   00030    0.4333  -71271.1028  0.3114 
   00031    0.4304  -71370.1017  0.3121 
   00032    0.4320  -71523.3613  0.3122 
   00033    0.4319  -71609.0087  0.3134 
   00034    0.4352  -71813.9952  0.3179 
   00035    0.4298  -71867.4843  0.3201 
   00036    0.4336  -71783.1975  0.3193 
   00037    0.4345  -71748.4399  0.3203 
   00038    0.4377  -71953.7921  0.3214 
   00039    0.4333  -72068.3819  0.3204 
   00040    0.4302  -72423.6032  0.3215 
   00041    0.4272  -72344.9556  0.3232 
   00042    0.4258  -72341.4268  0.3257 
   00043    0.4313  -72635.7066  0.3268 
   00044    0.4248  -72721.6802  0.3269 
   00045    0.4205  -72749.2957  0.3266 
   00046    0.4237  -72991.4833  0.3270 
   00047    0.4293  -72949.1835  0.3266 
   00048    0.4221  -73037.8048  0.3276 
   00049    0.4287  -73056.8512  0.3293 
   00050    0.4264  -73178.0643  0.3291 
