#=====================================================
# File created:        Wed-25-Oct-2023-at-03-56-50PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        30.481072
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5567.5302  0.2651 
   00001    0.6738   -8313.3100  0.2672 
   00002    0.6215  -10176.1198  0.2756 
   00003    0.5810  -11471.4116  0.2898 
   00004    0.5513  -12447.0449  0.2988 
   00005    0.5417  -13258.6431  0.3090 
   00006    0.5150  -13895.7976  0.3109 
   00007    0.4964  -14450.7629  0.3179 
   00008    0.4935  -14911.9276  0.3188 
   00009    0.4820  -15244.1053  0.3209 
   00010    0.4754  -15521.4520  0.3213 
   00011    0.4784  -15792.5856  0.3227 
   00012    0.4644  -16022.2578  0.3269 
   00013    0.4636  -16242.8848  0.3368 
   00014    0.4596  -16407.0365  0.3392 
   00015    0.4478  -16573.7285  0.3469 
   00016    0.4588  -16638.2370  0.3499 
   00017    0.4491  -16773.2194  0.3537 
   00018    0.4436  -16913.2058  0.3553 
   00019    0.4553  -17066.1197  0.3593 
   00020    0.4492  -17190.4544  0.3651 
   00021    0.4482  -17260.4668  0.3682 
   00022    0.4402  -17309.7819  0.3676 
   00023    0.4364  -17442.3519  0.3688 
   00024    0.4404  -17563.8981  0.3742 
   00025    0.4382  -17527.6674  0.3759 
   00026    0.4336  -17642.4529  0.3804 
   00027    0.4396  -17689.3264  0.3864 
   00028    0.4439  -17735.1759  0.3896 
   00029    0.4363  -17807.1200  0.3920 
   00030    0.4361  -17799.6251  0.3943 
   00031    0.4256  -17859.0000  0.3926 
   00032    0.4126  -17886.3619  0.3971 
   00033    0.4430  -17934.6522  0.4005 
   00034    0.4267  -18014.7662  0.4029 
   00035    0.4274  -18089.7913  0.4070 
   00036    0.4382  -18042.0369  0.4058 
   00037    0.4348  -18078.7403  0.4089 
   00038    0.4341  -18081.5707  0.4095 
   00039    0.4366  -18101.8423  0.4067 
   00040    0.4354  -18188.6279  0.4033 
   00041    0.4183  -18192.9954  0.4044 
   00042    0.4265  -18208.7117  0.4009 
   00043    0.4160  -18260.8197  0.3982 
   00044    0.4254  -18253.0812  0.3932 
   00045    0.4284  -18246.7114  0.3923 
   00046    0.4297  -18278.6046  0.3952 
   00047    0.4244  -18333.9189  0.3968 
   00048    0.4213  -18265.1042  0.3966 
   00049    0.4256  -18243.7830  0.3982 
   00050    0.4315  -18344.9861  0.3966 
