#=====================================================
# File created:        Wed-25-Oct-2023-at-03-57-15PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        54.514394
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10153.1260  0.2595 
   00001    0.6884  -14930.4895  0.2627 
   00002    0.6234  -17993.2064  0.2626 
   00003    0.5812  -20305.3415  0.2588 
   00004    0.5558  -21972.9250  0.2586 
   00005    0.5412  -23237.2027  0.2588 
   00006    0.5283  -24449.6383  0.2616 
   00007    0.5195  -25401.0151  0.2638 
   00008    0.4941  -26174.3161  0.2596 
   00009    0.4870  -26814.8294  0.2605 
   00010    0.4895  -27380.1375  0.2645 
   00011    0.4702  -27832.8171  0.2644 
   00012    0.4745  -28256.6546  0.2670 
   00013    0.4680  -28646.4633  0.2678 
   00014    0.4717  -28974.8862  0.2699 
   00015    0.4549  -29233.6767  0.2733 
   00016    0.4583  -29488.1082  0.2723 
   00017    0.4497  -29782.8891  0.2738 
   00018    0.4597  -30016.9770  0.2741 
   00019    0.4509  -30260.2466  0.2698 
   00020    0.4409  -30437.5278  0.2677 
   00021    0.4425  -30690.9498  0.2675 
   00022    0.4441  -30805.2931  0.2643 
   00023    0.4407  -30943.6412  0.2624 
   00024    0.4323  -31012.2684  0.2616 
   00025    0.4384  -31075.0121  0.2634 
   00026    0.4496  -31139.0981  0.2670 
   00027    0.4349  -31218.7786  0.2643 
   00028    0.4371  -31374.2591  0.2679 
   00029    0.4392  -31547.6201  0.2725 
   00030    0.4334  -31599.3925  0.2750 
   00031    0.4372  -31642.2484  0.2758 
   00032    0.4375  -31625.4592  0.2779 
   00033    0.4309  -31737.5087  0.2783 
   00034    0.4318  -31689.9095  0.2759 
   00035    0.4388  -31747.6228  0.2748 
   00036    0.4395  -31791.2456  0.2763 
   00037    0.4240  -31773.8583  0.2819 
   00038    0.4376  -31896.1967  0.2810 
   00039    0.4391  -31990.3542  0.2814 
   00040    0.4346  -31988.5970  0.2836 
   00041    0.4287  -32024.4202  0.2888 
   00042    0.4232  -32044.6182  0.2911 
   00043    0.4225  -32141.2940  0.2952 
   00044    0.4302  -32193.1441  0.2976 
   00045    0.4215  -32227.9432  0.2935 
   00046    0.4293  -32255.7079  0.2941 
   00047    0.4236  -32279.6318  0.2978 
   00048    0.4205  -32381.4028  0.3009 
   00049    0.4294  -32434.6510  0.2981 
   00050    0.4270  -32409.5880  0.2958 
