#=====================================================
# File created:        Wed-25-Oct-2023-at-03-56-34PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        14.387520
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2412.8694  0.2725 
   00001    0.6968   -3711.6591  0.2785 
   00002    0.6136   -4475.1229  0.2774 
   00003    0.5952   -5060.3228  0.2792 
   00004    0.5408   -5481.1694  0.2849 
   00005    0.5308   -5843.8956  0.2870 
   00006    0.5240   -6175.9117  0.2831 
   00007    0.4944   -6387.6796  0.2869 
   00008    0.4960   -6581.3081  0.2897 
   00009    0.4900   -6712.3585  0.2870 
   00010    0.4792   -6811.2962  0.2894 
   00011    0.4740   -6965.5012  0.2914 
   00012    0.4756   -7063.1346  0.3030 
   00013    0.4592   -7194.8740  0.3038 
   00014    0.4648   -7289.3836  0.3032 
   00015    0.4584   -7395.3620  0.3054 
   00016    0.4552   -7490.7754  0.3055 
   00017    0.4528   -7487.1644  0.3126 
   00018    0.4436   -7495.0736  0.3118 
   00019    0.4572   -7531.8795  0.3099 
   00020    0.4512   -7633.3034  0.3116 
   00021    0.4360   -7703.2492  0.3102 
   00022    0.4128   -7732.7899  0.3044 
   00023    0.4388   -7737.9121  0.3092 
   00024    0.4400   -7789.1535  0.3136 
   00025    0.4384   -7794.4057  0.3148 
   00026    0.4476   -7843.5985  0.3197 
   00027    0.4328   -7897.8764  0.3165 
   00028    0.4404   -7971.0426  0.3276 
   00029    0.4272   -7961.3718  0.3242 
   00030    0.4344   -7964.6389  0.3236 
   00031    0.4456   -7949.0184  0.3268 
   00032    0.4376   -7959.4285  0.3292 
   00033    0.4220   -7950.1763  0.3290 
   00034    0.4456   -7954.5126  0.3281 
   00035    0.4324   -7960.7430  0.3272 
   00036    0.4180   -8013.8526  0.3298 
   00037    0.4328   -7997.9485  0.3318 
   00038    0.4252   -8039.8406  0.3407 
   00039    0.4232   -8031.0488  0.3436 
   00040    0.4300   -8005.8080  0.3451 
   00041    0.4240   -8047.9018  0.3428 
   00042    0.4288   -8062.1961  0.3372 
   00043    0.4288   -8040.8252  0.3344 
   00044    0.4288   -8057.9255  0.3352 
   00045    0.4236   -8101.7651  0.3419 
   00046    0.4072   -8098.8462  0.3428 
   00047    0.4260   -8109.4529  0.3441 
   00048    0.4140   -8133.6064  0.3508 
   00049    0.4172   -8127.7649  0.3638 
   00050    0.4232   -8102.7720  0.3754 
