#=====================================================
# File created:        Wed-25-Oct-2023-at-03-57-44PM
# Size of lattice:     125x125
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        83.762913
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -15706.9663  0.2558 
   00001    0.6809  -23382.4677  0.2538 
   00002    0.6241  -28367.1477  0.2558 
   00003    0.5859  -31658.5687  0.2587 
   00004    0.5551  -34389.0615  0.2598 
   00005    0.5331  -36479.5278  0.2637 
   00006    0.5212  -38208.7255  0.2680 
   00007    0.5109  -39608.8848  0.2712 
   00008    0.4967  -40712.9818  0.2715 
   00009    0.4984  -41747.3953  0.2692 
   00010    0.4855  -42648.0988  0.2691 
   00011    0.4840  -43427.0593  0.2706 
   00012    0.4684  -44050.8192  0.2694 
   00013    0.4659  -44771.4079  0.2697 
   00014    0.4641  -45347.3908  0.2746 
   00015    0.4631  -45875.4279  0.2734 
   00016    0.4559  -46272.9510  0.2716 
   00017    0.4500  -46633.6915  0.2733 
   00018    0.4481  -46991.6234  0.2739 
   00019    0.4582  -47346.7372  0.2752 
   00020    0.4415  -47491.1744  0.2760 
   00021    0.4486  -47706.2049  0.2748 
   00022    0.4432  -47977.7272  0.2759 
   00023    0.4444  -48137.8015  0.2736 
   00024    0.4363  -48378.0162  0.2735 
   00025    0.4348  -48601.3449  0.2723 
   00026    0.4314  -48819.2483  0.2735 
   00027    0.4380  -48997.9707  0.2734 
   00028    0.4387  -49064.5788  0.2763 
   00029    0.4435  -49126.7556  0.2764 
   00030    0.4356  -49246.8963  0.2784 
   00031    0.4374  -49345.7168  0.2779 
   00032    0.4357  -49392.6835  0.2760 
   00033    0.4351  -49537.0850  0.2765 
   00034    0.4288  -49714.7996  0.2754 
   00035    0.4391  -49941.1953  0.2756 
   00036    0.4282  -50108.7154  0.2772 
   00037    0.4266  -50161.1322  0.2798 
   00038    0.4325  -50104.7875  0.2782 
   00039    0.4282  -50161.1774  0.2759 
   00040    0.4269  -50211.5699  0.2798 
   00041    0.4297  -50344.6447  0.2828 
   00042    0.4261  -50359.6314  0.2824 
   00043    0.4346  -50294.0594  0.2835 
   00044    0.4287  -50325.6663  0.2816 
   00045    0.4278  -50286.9539  0.2788 
   00046    0.4342  -50385.9813  0.2791 
   00047    0.4249  -50650.1067  0.2778 
   00048    0.4269  -50707.8916  0.2784 
   00049    0.4268  -50628.1098  0.2796 
   00050    0.4221  -50577.4820  0.2786 
