#=====================================================
# File created:        Wed-08-Nov-2023-at-12-33-38AM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        29.598427
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22544.5564  0.2181 
   00001    0.6776  -33415.0139  0.2244 
   00002    0.6258  -40563.0916  0.2856 
   00003    0.5842  -45579.3004  0.2999 
   00004    0.5586  -49592.7229  0.3666 
   00005    0.5321  -52447.0277  0.3787 
   00006    0.5169  -55184.1210  0.4172 
   00007    0.5040  -57078.6173  0.4030 
   00008    0.4982  -58853.2143  0.4095 
   00009    0.4885  -60518.5910  0.3786 
   00010    0.4849  -61833.1307  0.4134 
   00011    0.4743  -62881.8016  0.4068 
   00012    0.4736  -63867.2043  0.3721 
   00013    0.4626  -64639.6587  0.3558 
   00014    0.4634  -65492.7248  0.3795 
   00015    0.4579  -66160.7387  0.3896 
   00016    0.4619  -66641.3527  0.3958 
   00017    0.4562  -67130.1812  0.3746 
   00018    0.4514  -67585.8259  0.4121 
   00019    0.4556  -68028.1499  0.4026 
   00020    0.4429  -68358.9153  0.3964 
   00021    0.4457  -68773.3096  0.3816 
   00022    0.4464  -68949.4480  0.3524 
   00023    0.4448  -69256.9254  0.3121 
   00024    0.4416  -69666.1883  0.3450 
   00025    0.4374  -69760.0901  0.3242 
   00026    0.4392  -70042.4425  0.3394 
   00027    0.4358  -70341.2630  0.3052 
   00028    0.4386  -70643.8998  0.2926 
   00029    0.4387  -70794.5961  0.3100 
   00030    0.4363  -70869.3418  0.2976 
   00031    0.4332  -70940.0737  0.3345 
   00032    0.4325  -71095.1402  0.3363 
   00033    0.4339  -71319.1798  0.3368 
   00034    0.4374  -71498.0255  0.3226 
   00035    0.4341  -71638.2092  0.3141 
   00036    0.4363  -71642.1579  0.3333 
   00037    0.4314  -71586.0157  0.3328 
   00038    0.4259  -71661.4822  0.3154 
   00039    0.4316  -71804.2374  0.3466 
   00040    0.4280  -72044.8181  0.3586 
   00041    0.4246  -72179.1564  0.3322 
   00042    0.4312  -72176.4306  0.3122 
   00043    0.4319  -72153.6297  0.3212 
   00044    0.4324  -72289.5782  0.3333 
   00045    0.4243  -72596.9232  0.3348 
   00046    0.4295  -72617.3570  0.3399 
   00047    0.4262  -72674.0254  0.3461 
   00048    0.4225  -72662.3540  0.3538 
   00049    0.4281  -72831.0715  0.3473 
   00050    0.4276  -72855.2132  0.3684 
