#=====================================================
# File created:        Wed-08-Nov-2023-at-02-35-35AM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        24.307781
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22705.2969  0.2525 
   00001    0.6751  -33731.4570  0.2534 
   00002    0.6203  -40719.9219  0.2585 
   00003    0.5828  -45817.6055  0.2627 
   00004    0.5551  -49479.5156  0.2621 
   00005    0.5424  -52395.2734  0.2589 
   00006    0.5171  -54946.8398  0.2600 
   00007    0.5105  -57178.2266  0.2590 
   00008    0.4972  -58983.0000  0.2574 
   00009    0.4901  -60727.3711  0.2579 
   00010    0.4829  -62084.8320  0.2590 
   00011    0.4748  -63064.5586  0.2601 
   00012    0.4697  -64037.6406  0.2623 
   00013    0.4618  -64936.1797  0.2646 
   00014    0.4601  -65590.6797  0.2638 
   00015    0.4653  -66357.5234  0.2658 
   00016    0.4506  -66727.8203  0.2670 
   00017    0.4560  -67259.5781  0.2658 
   00018    0.4491  -67597.1172  0.2680 
   00019    0.4422  -68025.5938  0.2712 
   00020    0.4521  -68443.2578  0.2720 
   00021    0.4473  -68460.2578  0.2712 
   00022    0.4514  -68908.7812  0.2702 
   00023    0.4395  -69148.3281  0.2733 
   00024    0.4374  -69359.8594  0.2721 
   00025    0.4460  -69673.9922  0.2720 
   00026    0.4425  -69829.4844  0.2709 
   00027    0.4386  -70106.5469  0.2716 
   00028    0.4335  -70431.1094  0.2724 
   00029    0.4379  -70600.5703  0.2722 
   00030    0.4334  -70898.3906  0.2742 
   00031    0.4352  -70989.6797  0.2750 
   00032    0.4350  -71113.7266  0.2754 
   00033    0.4367  -71409.9375  0.2762 
   00034    0.4336  -71455.5859  0.2759 
   00035    0.4342  -71605.1719  0.2785 
   00036    0.4332  -71847.6562  0.2788 
   00037    0.4305  -71921.9297  0.2792 
   00038    0.4313  -72136.6172  0.2813 
   00039    0.4254  -72174.0234  0.2799 
   00040    0.4284  -72313.0156  0.2773 
   00041    0.4296  -72552.2812  0.2770 
   00042    0.4258  -72591.8984  0.2778 
   00043    0.4335  -72621.8906  0.2763 
   00044    0.4318  -72597.7969  0.2766 
   00045    0.4266  -72752.5781  0.2756 
   00046    0.4286  -72787.3281  0.2777 
   00047    0.4271  -72926.7969  0.2784 
   00048    0.4278  -72912.3359  0.2796 
   00049    0.4172  -73115.2812  0.2815 
   00050    0.4245  -73093.7969  0.2821 
