#=====================================================
# File created:        Tue-07-Nov-2023-at-11-35-52PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        43.946865
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -22685.2534  0.3161 
   00001    0.6792  -33476.0617  0.2394 
   00002    0.6170  -40790.3490  0.2731 
   00003    0.5897  -45783.1389  0.2636 
   00004    0.5544  -49766.0696  0.2611 
   00005    0.5362  -52811.6724  0.2390 
   00006    0.5212  -55464.9539  0.2635 
   00007    0.5074  -57641.0136  0.2154 
   00008    0.5033  -59541.1175  0.1783 
   00009    0.4830  -61063.2872  0.2072 
   00010    0.4879  -62303.5353  0.1807 
   00011    0.4737  -63445.8769  0.2017 
   00012    0.4724  -64217.9046  0.2155 
   00013    0.4624  -65104.9482  0.1910 
   00014    0.4567  -65918.4250  0.1733 
   00015    0.4516  -66594.9771  0.2161 
   00016    0.4498  -67105.6773  0.2234 
   00017    0.4457  -67443.8679  0.2106 
   00018    0.4540  -67887.2336  0.1609 
   00019    0.4489  -68496.8230  0.1893 
   00020    0.4435  -69024.2975  0.1620 
   00021    0.4411  -69229.5789  0.1662 
   00022    0.4439  -69628.7582  0.1890 
   00023    0.4423  -69777.8815  0.2143 
   00024    0.4383  -70017.2231  0.2030 
   00025    0.4397  -70333.9750  0.1678 
   00026    0.4410  -70560.5166  0.1527 
   00027    0.4332  -70703.9152  0.1355 
   00028    0.4320  -70854.0795  0.1334 
   00029    0.4370  -71054.2698  0.1596 
   00030    0.4359  -71288.4653  0.1909 
   00031    0.4299  -71426.6963  0.2206 
   00032    0.4308  -71582.6628  0.2231 
   00033    0.4296  -71615.5811  0.1961 
   00034    0.4343  -71971.1215  0.2070 
   00035    0.4255  -71991.1056  0.1752 
   00036    0.4295  -72112.1080  0.1886 
   00037    0.4343  -72357.5597  0.1926 
   00038    0.4303  -72588.1442  0.2083 
   00039    0.4270  -72625.2541  0.2269 
   00040    0.4316  -72712.2481  0.2300 
   00041    0.4249  -72762.0505  0.2130 
   00042    0.4270  -72843.2402  0.2019 
   00043    0.4188  -72890.7576  0.2025 
   00044    0.4221  -73081.1088  0.1941 
   00045    0.4177  -73089.6137  0.2078 
   00046    0.4280  -73067.2496  0.1756 
   00047    0.4309  -73028.0106  0.1914 
   00048    0.4261  -73115.6789  0.2201 
   00049    0.4284  -73079.8933  0.2332 
   00050    0.4229  -73217.9520  0.2000 
