#=====================================================
# File created:        Tue-07-Nov-2023-at-11-35-18PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        10.164711
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5684.0680  0.2194 
   00001    0.6884   -8489.7666  0.1936 
   00002    0.6272  -10210.8463  0.1952 
   00003    0.5913  -11543.1427  0.2169 
   00004    0.5508  -12482.6262  0.3222 
   00005    0.5396  -13255.5971  0.2543 
   00006    0.5035  -13804.2443  0.2258 
   00007    0.5127  -14332.5140  0.2426 
   00008    0.5029  -14727.7381  0.2860 
   00009    0.4948  -15114.6351  0.3324 
   00010    0.4827  -15400.0757  0.3186 
   00011    0.4692  -15704.0363  0.3329 
   00012    0.4871  -15960.8560  0.2631 
   00013    0.4692  -16143.6718  0.3005 
   00014    0.4617  -16308.2184  0.2894 
   00015    0.4553  -16434.4058  0.2645 
   00016    0.4512  -16679.6364  0.1846 
   00017    0.4512  -16835.7872  0.2255 
   00018    0.4551  -16948.7650  0.2475 
   00019    0.4507  -17001.2069  0.2803 
   00020    0.4427  -17063.0604  0.2612 
   00021    0.4480  -17141.3402  0.2414 
   00022    0.4482  -17265.0749  0.2523 
   00023    0.4485  -17249.6426  0.2619 
   00024    0.4404  -17341.1895  0.2570 
   00025    0.4489  -17400.2704  0.2376 
   00026    0.4345  -17456.6946  0.3085 
   00027    0.4368  -17506.0538  0.2882 
   00028    0.4492  -17574.2184  0.2068 
   00029    0.4407  -17649.8297  0.2541 
   00030    0.4354  -17670.4317  0.2374 
   00031    0.4366  -17783.7147  0.1855 
   00032    0.4308  -17800.0511  0.1773 
   00033    0.4322  -17832.7091  0.1613 
   00034    0.4416  -17879.3955  0.1230 
   00035    0.4276  -17934.8124  0.1476 
   00036    0.4265  -18035.7051  0.2104 
   00037    0.4283  -18057.3446  0.2479 
   00038    0.4357  -18148.1198  0.2649 
   00039    0.4183  -18181.0001  0.2882 
   00040    0.4395  -18223.1528  0.2946 
   00041    0.4185  -18221.9873  0.2849 
   00042    0.4231  -18210.5489  0.2230 
   00043    0.4249  -18279.8834  0.2276 
   00044    0.4219  -18293.7750  0.2417 
   00045    0.4252  -18302.5350  0.2787 
   00046    0.4263  -18354.8950  0.2689 
   00047    0.4281  -18344.1617  0.3161 
   00048    0.4238  -18402.2288  0.3401 
   00049    0.4224  -18415.4622  0.3161 
   00050    0.4244  -18421.3617  0.3273 
