#=====================================================
# File created:        Tue-07-Nov-2023-at-05-37-11PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.676733
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5575.3737  0.2606 
   00001    0.6793   -8307.9469  0.2598 
   00002    0.6281  -10058.3514  0.2624 
   00003    0.5820  -11307.8938  0.2624 
   00004    0.5563  -12283.7614  0.2693 
   00005    0.5417  -12978.4980  0.2758 
   00006    0.5287  -13645.8417  0.2853 
   00007    0.5074  -14233.0310  0.2922 
   00008    0.5044  -14688.3147  0.2901 
   00009    0.5012  -15133.4338  0.2919 
   00010    0.4846  -15459.6649  0.2956 
   00011    0.4809  -15749.7400  0.2942 
   00012    0.4750  -15940.2873  0.2875 
   00013    0.4594  -16133.1660  0.2907 
   00014    0.4699  -16338.4813  0.2898 
   00015    0.4556  -16558.3816  0.2922 
   00016    0.4652  -16750.3870  0.2925 
   00017    0.4427  -16910.4343  0.2935 
   00018    0.4498  -17035.2175  0.2925 
   00019    0.4530  -17162.8398  0.2912 
   00020    0.4466  -17248.5205  0.2956 
   00021    0.4402  -17315.0892  0.2951 
   00022    0.4357  -17396.9916  0.2945 
   00023    0.4357  -17511.9316  0.2962 
   00024    0.4459  -17567.1982  0.2941 
   00025    0.4306  -17596.3145  0.2997 
   00026    0.4462  -17664.2770  0.2990 
   00027    0.4329  -17705.9626  0.3036 
   00028    0.4249  -17712.4917  0.3053 
   00029    0.4284  -17750.7775  0.3077 
   00030    0.4340  -17757.8052  0.3070 
   00031    0.4366  -17835.2189  0.3062 
   00032    0.4313  -17862.4526  0.3035 
   00033    0.4439  -17944.9128  0.3067 
   00034    0.4425  -17989.6997  0.3069 
   00035    0.4313  -18027.1538  0.3077 
   00036    0.4272  -18109.0544  0.3064 
   00037    0.4283  -18045.5384  0.3049 
   00038    0.4425  -18131.0815  0.3049 
   00039    0.4361  -18164.6134  0.3044 
   00040    0.4354  -18224.9635  0.3052 
   00041    0.4238  -18253.5061  0.3035 
   00042    0.4249  -18288.6152  0.3026 
   00043    0.4270  -18292.9759  0.3056 
   00044    0.4233  -18285.8096  0.3059 
   00045    0.4256  -18318.5756  0.3044 
   00046    0.4176  -18312.8265  0.2976 
   00047    0.4199  -18320.1891  0.2994 
   00048    0.4240  -18336.1952  0.3007 
   00049    0.4238  -18314.8135  0.3039 
   00050    0.4204  -18273.8056  0.3036 
