#=====================================================
# File created:        Tue-07-Nov-2023-at-11-03-12PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.969707
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5728.0062  0.2645 
   00001    0.6754   -8427.6612  0.2754 
   00002    0.6270  -10171.5357  0.2852 
   00003    0.5813  -11347.1405  0.2934 
   00004    0.5630  -12302.0546  0.3007 
   00005    0.5500  -13084.6470  0.3162 
   00006    0.5248  -13702.4215  0.3254 
   00007    0.5074  -14363.9216  0.3267 
   00008    0.4999  -14780.3013  0.3283 
   00009    0.4880  -15159.2961  0.3219 
   00010    0.4791  -15498.5504  0.3241 
   00011    0.4693  -15682.1666  0.3277 
   00012    0.4700  -15911.3160  0.3322 
   00013    0.4725  -16176.9776  0.3394 
   00014    0.4684  -16370.1875  0.3434 
   00015    0.4564  -16566.1612  0.3424 
   00016    0.4585  -16779.1232  0.3443 
   00017    0.4347  -16880.0032  0.3456 
   00018    0.4501  -16982.9402  0.3477 
   00019    0.4409  -17061.6926  0.3526 
   00020    0.4464  -17126.0921  0.3534 
   00021    0.4423  -17199.3391  0.3539 
   00022    0.4540  -17368.2865  0.3528 
   00023    0.4407  -17494.5948  0.3529 
   00024    0.4416  -17588.0468  0.3502 
   00025    0.4290  -17686.6509  0.3506 
   00026    0.4304  -17713.3334  0.3562 
   00027    0.4372  -17687.2773  0.3609 
   00028    0.4338  -17736.5301  0.3612 
   00029    0.4336  -17751.7086  0.3605 
   00030    0.4354  -17773.6815  0.3637 
   00031    0.4356  -17811.2887  0.3667 
   00032    0.4366  -17814.4685  0.3681 
   00033    0.4354  -17810.2999  0.3688 
   00034    0.4395  -17833.7222  0.3689 
   00035    0.4359  -17895.1767  0.3722 
   00036    0.4228  -17960.5228  0.3753 
   00037    0.4192  -18029.1240  0.3822 
   00038    0.4258  -18067.8123  0.3819 
   00039    0.4283  -18032.8019  0.3814 
   00040    0.4304  -18089.9467  0.3883 
   00041    0.4300  -18150.5444  0.3897 
   00042    0.4256  -18202.8924  0.3882 
   00043    0.4252  -18186.7003  0.3865 
   00044    0.4206  -18148.6629  0.3890 
   00045    0.4306  -18242.7905  0.3955 
   00046    0.4345  -18271.6987  0.3962 
   00047    0.4215  -18313.9661  0.3954 
   00048    0.4313  -18319.3042  0.3950 
   00049    0.4187  -18300.3922  0.3931 
   00050    0.4260  -18301.6787  0.3925 
