LebwohlLasher_vector_np.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.390, Time: 3.869948 s
         4906238 function calls (4891227 primitive calls) in 5.706 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      557    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1548    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    516/5    0.002    0.000    1.822    0.364 <frozen importlib._bootstrap_external>:877(exec_module)
      516    0.006    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       64    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      556    0.000    0.000    0.001    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:350(_SelectorContext)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1771(C14NWriterTarget)
        1    0.000    0.000    0.001    0.001 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 ElementTree.py:79(DefusedXMLParser)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.012    0.012 Image.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2585(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2594(ImageTransformHandler)
        1    0.000    0.000    0.000    0.000 Image.py:3116(register_open)
        1    0.000    0.000    0.000    0.000 Image.py:3131(register_mime)
        1    0.000    0.000    0.000    0.000 Image.py:3142(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:3153(register_save_all)
        2    0.000    0.000    0.000    0.000 Image.py:3165(register_extension)
        1    0.000    0.000    0.000    0.000 Image.py:3176(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3286(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3322(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:440(_E)
        1    0.000    0.000    0.000    0.000 Image.py:481(Image)
        1    0.000    0.000    0.000    0.000 Image.py:657(_ArrayData)
        1    0.000    0.000    0.000    0.000 Image.py:71(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:75(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:311(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:337(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:568(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:579(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:80(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:1(<module>)
