LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.290, Time: 0.822737 s
         7611040 function calls (7348788 primitive calls) in 6.810 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2220/1392    0.007    0.000    0.280    0.000 functools.py:961(__get__)
        1    0.000    0.000    0.275    0.275 config.py:1(<module>)
        1    0.000    0.000    0.268    0.268 _subplots.py:1(<module>)
      216    0.001    0.000    0.260    0.001 artist.py:1327(__init__)
      216    0.014    0.000    0.259    0.001 artist.py:1347(get_aliases)
        1    0.000    0.000    0.253    0.253 _axes.py:1(<module>)
       96    0.000    0.000    0.248    0.003 codegen.py:720(add_linking_library)
       33    0.001    0.000    0.246    0.007 compiler.py:381(__init__)
     9256    0.006    0.000    0.246    0.000 inspect.py:3252(signature)
     9256    0.006    0.000    0.240    0.000 inspect.py:2998(from_callable)
9292/9256    0.039    0.000    0.234    0.000 inspect.py:2375(_signature_from_callable)
        1    0.000    0.000    0.224    0.224 arraymath.py:555(array_max)
        2    0.000    0.000    0.221    0.110 arrayobj.py:1819(array_reshape_vararg)
        2    0.000    0.000    0.221    0.110 arrayobj.py:1754(array_reshape)
        1    0.000    0.000    0.215    0.215 dylib.py:1(<module>)
        1    0.000    0.000    0.214    0.214 ffi.py:1(<module>)
    93/83    0.002    0.000    0.214    0.003 lowering.py:690(lower_binop)
        3    0.000    0.000    0.209    0.070 array_exprs.py:332(_lower_array_expr)
      184    0.001    0.000    0.207    0.001 module.py:233(__repr__)
141901/25701    0.147    0.000    0.205    0.000 ir.py:313(_rec_list_vars)
      184    0.001    0.000    0.203    0.001 module.py:207(_get_body_lines)
      184    0.001    0.000    0.202    0.001 module.py:212(<listcomp>)
93911/50308    0.058    0.000    0.194    0.000 {method 'format' of 'str' objects}
      440    0.000    0.000    0.193    0.000 values.py:1000(__str__)
      440    0.000    0.000    0.192    0.000 values.py:993(descr)
        1    0.000    0.000    0.191    0.191 contour.py:1(<module>)
    94579    0.191    0.000    0.191    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
    21101    0.009    0.000    0.183    0.000 ir.py:346(list_vars)
46959/19782    0.026    0.000    0.172    0.000 _utils.py:44(__str__)
       63    0.000    0.000    0.171    0.003 values.py:986(descr_body)
     1075    0.002    0.000    0.171    0.000 values.py:1129(descr)
      317    0.001    0.000    0.170    0.001 typeinfer.py:699(__call__)
  304/134    0.001    0.000    0.169    0.001 base.py:269(refresh)
       33    0.000    0.000    0.167    0.005 untyped_passes.py:79(run_pass)
        2    0.000    0.000    0.167    0.083 collections.py:1(<module>)
     1075    0.004    0.000    0.167    0.000 values.py:1131(<listcomp>)
     9149    0.063    0.000    0.166    0.000 inspect.py:2280(_signature_from_function)
       33    0.002    0.000    0.166    0.005 interpreter.py:336(interpret)
      330    0.027    0.000    0.160    0.000 analysis.py:23(compute_use_defs)
      738    0.006    0.000    0.157    0.000 <frozen importlib._bootstrap>:921(_find_spec)
  1059100    0.121    0.000    0.155    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.154    0.154 backend_bases.py:1(<module>)
     1574    0.006    0.000    0.154    0.000 context.py:199(_call_incref_decref)
     3928    0.149    0.000    0.149    0.000 {built-in method posix.stat}
       12    0.000    0.000    0.149    0.012 npyimpl.py:336(numpy_ufunc_kernel)
    14219    0.024    0.000    0.148    0.000 values.py:544(_to_string)
       66    0.006    0.000    0.147    0.002 registry.py:54(apply)
      715    0.001    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1072    0.012    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       33    0.001    0.000    0.146    0.004 untyped_passes.py:192(run_pass)
      715    0.004    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      297    0.000    0.000    0.143    0.000 postproc.py:41(usedefs)
    13699    0.026    0.000    0.140    0.000 instructions.py:13(__init__)
4488/1574    0.012    0.000    0.138    0.000 context.py:182(get_meminfos)
      635    0.006    0.000    0.138    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     7983    0.009    0.000    0.135    0.000 re.py:288(_compile)
        3    0.000    0.000    0.134    0.045 arrayobj.py:3540(make_array_nditer)
        3    0.000    0.000    0.134    0.045 npyimpl.py:230(_build_array)
        4    0.000    0.000    0.132    0.033 numbers.py:207(int_power_impl)
        3    0.000    0.000    0.131    0.044 arrayobj.py:2905(init_specific)
      304    0.005    0.000    0.131    0.000 cpu.py:69(load_additional_registries)
        1    0.000    0.000    0.131    0.131 widgets.py:1(<module>)
     4000    0.011    0.000    0.130    0.000 artist.py:1375(get_valid_values)
        1    0.000    0.000    0.128    0.128 patches.py:1(<module>)
    17688    0.016    0.000    0.128    0.000 values.py:537(__init__)
       19    0.000    0.000    0.127    0.007 lowering.py:309(create_cfunc_wrapper)
       19    0.001    0.000    0.127    0.007 cpu.py:186(create_cfunc_wrapper)
        2    0.000    0.000    0.124    0.062 __init__.py:3240(_call_aside)
        1    0.000    0.000    0.124    0.124 __init__.py:3266(_initialize_master_working_set)
        1    0.000    0.000    0.122    0.122 axes3d.py:1(<module>)
47448/45202    0.016    0.000    0.122    0.000 {built-in method builtins.next}
      295    0.002    0.000    0.121    0.000 sre_compile.py:783(compile)
       56    0.000    0.000    0.120    0.002 codegen.py:733(add_llvm_module)
    26660    0.023    0.000    0.114    0.000 event.py:193(broadcast)
